date,crvusd_collateral,crvusd_debt,crvusd_loans,crvusd_rate,pegkeeper_debt,pegkeeper_pool_liquidity,crvusd_total_supply,aave_usdc_rate,aave_usdt_rate,aave_avg_rate,binance_eth_rate,binance_btc_rate,binance_avg_rate,scrvusd_apy,scrvusd_crvusd_supply,scrvusd_supply,scrvusd_virtual_price,resupply_crvusd
2024-05-25,242210993.150496,128891654.597171,993,0.18960191029871,19925.149396018,25591926.1670647,128911579.746567,0.0796269610247877,0.0704752032656873,0.0750510821452375,0.1095,0.1095,0.1095,0,0,0,0,
2024-05-26,244498132.066603,128195735.607728,988,0.204376804699518,0,25536366.0583869,128195735.607728,0.0772014026982764,0.0773371262845137,0.0772692644913951,0.1095,0.1095,0.1095,0,0,0,0,
2024-05-27,246859483.636807,126659144.130091,987,0.195057262368892,0,25644743.9979504,126659144.130091,0.0742559880955531,0.0720804272612607,0.0731682076784069,0.1095,0.1095,0.1095,0,0,0,0,
2024-05-28,238329351.758253,122782054.353955,990,0.14816917948039,0,25654682.0643574,122782054.353955,0.0781214483472542,0.0760912051167283,0.0771063267319912,0.1174935,0.1095,0.11349675,0,0,0,0,
2024-05-29,235369163.799312,122348906.877636,996,0.14369505036549,0,26183756.0722418,122348906.877636,0.102005629426631,0.0765723829601057,0.0892890061933686,0.16492525,0.1188367,0.141880975,0,0,0,0,
2024-05-30,235126006.968405,123641035.754192,997,0.156289799450655,0,26181641.3270169,123641035.754192,0.0923579112284255,0.0737339342629289,0.0830459227456772,0.21266725,0.1095,0.161083625,0,0,0,0,
2024-05-31,235277107.84433,124057001.646806,995,0.165679105041162,0,25349494.8366059,124057001.646806,0.0991678207523316,0.0768924153644633,0.0880301180583974,0.12085515,0.13456455,0.12770985,0,0,0,0,
2024-06-01,236641804.672699,125262452.452943,992,0.159747766426012,0,25296423.1758042,125262452.452943,0.0867708390862293,0.0830003860907422,0.0848856125884858,0.15219405,0.1104125,0.131303275,0,0,0,0,
2024-06-02,236998569.338243,124885841.377034,993,0.152033077446118,0,25299072.1223364,124885841.377034,0.0814267188698078,0.0708343063413842,0.076130512605596,0.13028675,0.1095,0.119893375,0,0,0,0,
2024-06-03,237518934.443488,124033630.242212,993,0.149416110965593,0,25545858.3785531,124033630.242212,0.0740248322426522,0.0745348097150063,0.0742798209788292,0.15081435,0.12459275,0.13770355,0,0,0,0,
2024-06-04,237440392.091487,123629445.011156,993,0.145001667689461,0,25530830.6571223,123629445.011156,0.0794236650196517,0.0816576044550475,0.0805406347373496,0.11241635,0.1168292,0.114622775,0,0,0,0,
2024-06-05,241347871.09149,124035268.662849,996,0.153573633207827,0,25525580.7559538,124035268.662849,0.0752607725753229,0.0927553663899624,0.0840080694826426,0.1373422,0.14458745,0.140964825,0,0,0,0,
2024-06-06,243006004.310765,124651253.35473,1000,0.16364020849678,0,25093113.0312361,124651253.35473,0.0905127568202815,0.0864143630039417,0.0884635599121116,0.19993605,0.1175592,0.158747625,0,0,0,0,
2024-06-07,237770410.516867,123573428.135013,1004,0.153887428488637,0,25098059.9097101,123573428.135013,0.113536021069219,0.0778889964982907,0.0957125087837547,0.1692213,0.1101059,0.1396636,0,0,0,0,
2024-06-08,231961975.026231,125442801.579659,1008,0.157564102392589,0,24400877.4584181,125442801.579659,0.0894016574195224,0.0745482620330668,0.0819749597262946,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-09,233428787.447603,126227441.419065,1009,0.168112799325785,0,24526366.8856668,126227441.419065,0.0821071136243223,0.0745749573469685,0.0783410354856454,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-10,233723304.707196,124579026.604373,1011,0.179614893754749,0,24517695.3546281,124579026.604373,0.0755963207684881,0.0726455845903079,0.074120952679398,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-11,220312723.015389,123031769.814132,1012,0.14753331928333,0,24453731.316865,123031769.814132,0.0825002723706825,0.0746675645583793,0.0785839184645309,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-12,220377357.106428,124784378.437615,1013,0.16238731127414,0,25388625.8056483,124784378.437615,0.0744178108369778,0.0803480063598523,0.0773829085984151,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-13,232990928.277197,135836717.79086,1018,0.0588786078603341,0,23764550.6284153,135836717.79086,0.0825297852116595,0.0763213859778099,0.0794255855947347,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-14,223571744.781963,132660623.322776,1014,0.113660268469667,6267893.59185357,27106653.6370621,138928516.91463,0.0980206474203193,0.0767333956061519,0.0873770215132356,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-15,223717379.101626,132075567.368449,1010,0.147875096916635,1476693.01557898,18674852.0114191,133552260.384028,0.0816921949755361,0.0752232687209606,0.0784577318482484,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-16,224444735.525579,131789645.666968,1011,0.144899437020206,1197868.88422296,17888438.0798928,132987514.551191,0.0742281099583141,0.0795450290183942,0.0768865694883542,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-17,222939054.457211,131387630.844945,1011,0.170178263944263,1110110.89020304,18330811.5195193,132497741.735148,0.081658036519739,0.0776231710317447,0.0796406037757419,0.10635005,0.1095,0.107925025,0,0,0,0,
2024-06-18,216724067.158977,130533574.402932,1009,0.205188721804424,19008.7933000229,17030091.8808004,130552583.196232,0.0802481183860515,0.0808577544914284,0.08055293643874,0.07553675,0.1030614,0.089299075,0,0,0,0,
2024-06-19,220579609.161184,130114107.620777,1008,0.199022472797102,19008.7933000229,17082643.470808,130133116.414077,0.0772063601335375,0.0726343605188565,0.074920360326197,0.0953453,0.0623931,0.0788692,0,0,0,0,
2024-06-20,218198950.356018,127611280.858466,1006,0.168585339375129,19008.7933000229,16868529.8380144,127630289.651766,0.0739302231089647,0.0750146355134782,0.0744724293112214,0.0713794,0.0611959,0.06628765,0,0,0,0,
2024-06-21,212473212.015595,125868241.58674,1004,0.147212031184689,19008.7933000229,19206884.0013383,125887250.38004,0.0822598821674487,0.0642894958453502,0.0732746890063995,0.0468952,0.07544915,0.061172175,0,0,0,0,
2024-06-22,211793467.579255,125699426.321708,1004,0.147668334744146,19008.7933000229,19766224.8166198,125718435.115008,0.0753626590161836,0.064521046412692,0.0699418527144378,0.0522461,0.0881329,0.0701895,0,0,0,0,
2024-06-23,210960703.443533,125453237.103334,1004,0.149234858552523,19008.7933000229,20873816.1053286,125472245.896634,0.0781758495831963,0.0639381406686596,0.0710569951259279,0.05436675,0.06198795,0.05817735,0,0,0,0,
2024-06-24,203573948.603427,124082253.193824,1004,0.154652377161434,19008.7933000229,21187893.7506775,124101261.987124,0.0797087041224896,0.0613660016530579,0.0705373528877737,0.0915493,0.0986303,0.0950898,0,0,0,0,
2024-06-25,205451083.776606,122800863.808442,1004,0.153311805837729,19008.7933000229,21432272.4693384,122819872.601742,0.0848654203822123,0.0629022106803023,0.0738838155312573,0.1095,0.0771902,0.0933451,0,0,0,0,
2024-06-26,204947160.677249,122549025.406991,1009,0.166992449796488,19008.7933000229,21436423.3052708,122568034.200291,0.0870253211126845,0.064586873394505,0.0758060972535948,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-27,204548902.497597,122386542.643558,1009,0.189274949500743,19008.7933000229,21483486.5199535,122405551.436858,0.078534360232425,0.0675675954585875,0.0730509778455062,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-28,203691944.482728,121923093.81988,1008,0.199739718848395,19008.7933000229,21344974.0947987,121942102.61318,0.0800954931383251,0.0615099694274487,0.0708027312828869,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-29,201647330.430857,121857390.724155,1006,0.213577218465974,19008.7933000229,21801662.7239037,121876399.517455,0.0740171321905217,0.0643827026070134,0.0691999173987676,0.1095,0.1095,0.1095,0,0,0,0,
2024-06-30,202509971.942254,121861462.351657,1007,0.228197140742648,0,22003838.7769409,121861462.351657,0.0800225324601241,0.0634932613130472,0.0717578968865856,0.1095,0.1095,0.1095,0,0,0,0,
2024-07-01,207351386.126463,121758022.513133,1003,0.223288978195781,0,21955797.134727,121758022.513133,0.0792083734146369,0.061345867695685,0.070277120555161,0.1095,0.1095,0.1095,0,0,0,0,
2024-07-02,205049486.089244,121797363.72981,1001,0.240386068158131,0,22352853.0273468,121797363.72981,0.0775828369567934,0.0658764834079415,0.0717296601823674,0.1095,0.1095,0.1095,0,0,0,0,
2024-07-03,197995844.258042,121702414.046237,1002,0.26234019695877,0,22302926.8665009,121702414.046237,0.075255087456155,0.0674312277783618,0.0713431576172584,0.1095,0.1095,0.1095,0,0,0,0,
2024-07-04,187510670.188223,121198541.512712,1004,0.219031998476292,0,22008413.1025012,121198541.512712,0.0724810162297331,0.061897630028103,0.067189323128918,0.1095,0.1095,0.1095,0,0,0,0,
2024-07-05,166113471.007455,115841434.064222,1001,0.153126885339816,0,22163593.4059043,115841434.064222,0.0692095830201436,0.0674106598094618,0.0683101214148027,0.08932645,0.0794313,0.084378875,0,0,0,0,
2024-07-06,168642949.23955,110556959.272852,1003,0.160057979692477,0,21876224.8290939,110556959.272852,0.0666682203243848,0.0621759630469153,0.06442209168565,0.07829615,0.06019215,0.06924415,0,0,0,0,
2024-07-07,169187940.706436,110379041.368978,1003,0.166952167185288,0,23137167.4461158,110379041.368978,0.0762507359828405,0.069535406088989,0.0728930710359148,0.0666782,0.1027986,0.0847384,0,0,0,0,
2024-07-08,164127234.834984,109083837.421164,999,0.162336080152285,0,23422628.7878271,109083837.421164,0.0680956953163121,0.0685031541695897,0.0682994247429509,0.083147,0.0953599,0.08925345,0,0,0,0,
